ID,Module,Title,Requirement,Summary,Dependencies,Preconditions,Steps,Expected,Priority,Tags,Status
SITE-TC-001,Home,Главная: блоки и калькулятор,REQ-SITE-001,"Проверить, что главная страница отображается корректно и работает калькулятор тарифов.","Прод/стейдж доступен; контент загружен.","Пользователь не авторизован, открывает https://godlike.host/.","1) Проверить наличие блоков: герой, Low Latency Worldwide, Discord Management Bot, Extreme Hardware, Unlimited Mods & Plugins, Why Choose Godlike Host. 2) В калькуляторе выбрать игру (Minecraft), локацию (EU), 10 игроков. 3) Изменить игроков на 50. 4) Нажать Order.","1) Все указанные блоки видимы, тексты не обрезаны. 2) Отображается цена и рекомендуемый тариф. 3) Цена и тариф пересчитываются без перезагрузки. 4) Открывается форма/страница заказа сервера с выбранной игрой и локацией.",High,"site,home,ui,business-logic,smoke",Not Run
SITE-TC-002,Home,Главная: Run test (latency),REQ-SITE-001,"Проверить, что кнопка Run test определяет ближайшую локацию и показывает пинг.","Доступны тестовые узлы для замера пинга.","Открыта главная страница.","1) Нажать Run test в блоке Low Latency. 2) Дождаться результата. 3) Обновить страницу и повторить.","1) Запускается тест. 2) Отображается ближайшая локация и задержка. 3) Результат географически консистентен (для UA — чаще EU и т.п.).",Medium,"site,latency,ux",Not Run
SITE-TC-003,Home,Главная: навигация и внешние ссылки,REQ-SITE-001,"Проверить, что ссылки в header/footer и основных блоках не ведут на 404.","Сайт задеплоен с реальными ссылками.","Открыта главная.","1) По очереди кликнуть по пунктам основного меню (Game servers, Minecraft, About, Panel, Knowledgebase и др.). 2) Кликнуть ссылки в футере (Terms, Privacy, Discord, etc.).","Все ссылки открываются без 404/500; открываются ожидаемые разделы.",Medium,"site,nav",Not Run
SITE-TC-004,Home,Главная: адаптивность (mobile),REQ-SITE-001,"Проверить корректность отображения главной на мобильных экранах.","Возможен просмотр через DevTools/эмулятор.","Открыта главная в режиме эмуляции мобильного устройства (iPhone/Android).","1) Открыть https://godlike.host/ в mobile-режиме в DevTools. 2) Прокрутить всю страницу. 3) Проверить работу калькулятора и кнопок.","Верстка не ломается, текст читаем, элементы не вылезают за экран, калькулятор и кнопки кликабельны.",Medium,"site,ui,adaptive",Not Run
SITE-TC-005,Home,Главная: негатив — калькулятор без выбора игры,REQ-SITE-001,"Проверить поведение калькулятора, если не выбрана игра.","Прод/стейдж доступен.","Открыта главная, по умолчанию игра не выбрана (если возможно).","1) Не выбирая игру, попытаться изменить количество игроков и нажать Order.","Появляется подсказка/валидация о необходимости выбрать игру; не происходит переход к заказу с некорректными данными.",Medium,"site,negative,validation",Not Run
SITE-TC-010,Modded,Modded Minecraft: контент и CTA,REQ-SITE-002,"Проверить, что страница Modded Minecraft отображает контент и кнопки заказа.","Страница /modded-minecraft-server-hosting/ доступна.","Пользователь не авторизован.","1) Открыть страницу Modded Minecraft. 2) Проверить наличие описания преимуществ (NVMe, CPU, DDoS, backups). 3) Найти секцию про One-click modpack installer и библиотеку modpack'ов (CurseForge/Modrinth). 4) Нажать основную CTA-кнопку.","1) Заголовок и преимущества отображаются. 2) Блок One-click installer и упоминание библиотеки видны. 3) При нажатии CTA открывается форма/страница заказа модифицированного сервера.",Medium,"site,modded,content",Not Run
SITE-TC-011,Modded,Modded Minecraft: негатив — CTA при недоступной услуге,REQ-SITE-002,"Проверить поведение при недоступности услуги (например, отключен продукт).","Можно временно отключить продукт/вернуть ошибку с бэка.","Страница Modded открыта.","1) Нажать CTA при отключенной услуге (симуляция через тестовую конфигурацию).","Показывается понятное сообщение об ошибке/недоступности, без технических стектрейсов; нет бесконечной загрузки.",Low,"site,modded,negative",Not Run
SITE-TC-020,GameServers,Game Servers EN: список игр и заказ,REQ-SITE-003,"Проверить список игр и переход к заказу со страницы Game Servers EN.","Страница /game-servers-en/ доступна.","Пользователь не авторизован.","1) Открыть /game-servers-en/. 2) Проверить наличие блока High performance game servers и описания (dedicated, low ping, DDoS, panel). 3) Прокрутить до списка игр (Minecraft, Rust, ARK и др.). 4) Нажать Order у Rust.","1) Описание хостинга отображается. 2) Список игр виден. 3) Клик по Order у Rust ведет на форму заказа сервера Rust.",Medium,"site,games,order,smoke",Not Run
SITE-TC-021,GameServers,Game Servers EN: фильтрация по локациям,REQ-SITE-003,"Проверить фильтрацию тарифов по локациям на странице Game Servers EN (если реализовано).","Фильтр по локациям включен.","Открыта /game-servers-en/.","1) Включить фильтр EU. 2) Проверить отображаемые тарифы. 3) Включить NA и APAC. 4) Сбросить фильтр.","Для каждой локации отображаются только соответствующие тарифы; при сбросе видны все.",Medium,"site,games,filter",Not Run
AUTH-TC-001,Auth,Регистрация нового пользователя,REQ-AUTH-001,"Проверить возможность регистрации нового пользователя по email.","Email-сервис доступен.","Email ранее не использовался.","1) Открыть форму регистрации. 2) Ввести валидный email и сильный пароль (>=8 символов, буквы+цифры). 3) Подтвердить пароль (если поле есть). 4) Принять условия (если есть чекбокс). 5) Нажать Register. 6) Проверить почту.","1) Форма валидацию проходит без ошибок. 2) Создается аккаунт и выполняется вход в панель. 3) Приходит письмо (верификация/приветствие), ссылки рабочие.",High,"auth,registration,positive,smoke",Not Run
